login,n,name,blog
peterhurford,1,Peter Hurford,http://www.peterhurford.com
petzi53,14,Peter Baumgartner,https://notes.peter-baumgartner.net/
pkq,4,Patrick Kennedy,NA
pooyataher,1,Pooya Taherkhani,https://gitlab.com/pooyat
PursuitOfDataScience,14,Y. Yu,https://youzhi.netlify.app/
radugrosu,10,Radu Grosu,radugrosu.com
raffaem,2,Raffaele Mancuso,https://raffaem.github.io
Ranae,2,Ranae Dietzel,ranae.github.io
rastrau,2,Ralph Straumann,https://ralphstraumann.ch
raynamharris,1,Rayna M Harris,https://www.raynamharris.com
ReeceGoding,1,NA,NA
rgertenbach,1,Robin Gertenbach,NA
RIngyao,1,Jajo,NA
rivaquiroga,1,Riva Quiroga,https://rivaquiroga.cl/
RJHKnight,1,Richard Knight,NA
rlzijdeman,2,Richard Zijdeman,NA
robertchu03,1,NA,NA
RobinKohrs,1,Robin Kohrs,https://quarantino.netlify.app/
Robinlovelace,2,Robin,http://robinlovelace.net
robinsones,1,Emily Robinson,robinsones.github.io
robtenorio,1,Rob Tenorio,NA
RodAli,1,Rod Mazloomi,NA
RohanAlexander,5,Rohan Alexander,https://www.rohanalexander.com/
RomeroBarata,1,Romero Morais,NA
rudeboybert,1,Albert Y. Kim,http://rudeboybert.rbind.io/
saghirb,3,Saghir,http://www.ilustat.com
salmasian,1,Hojjat Salmasian,NA
sauercrowd,1,Jonas,https://blog.sauercrowdlabs.xyz
sciencificity,3,Vebash Naidoo,https://sciencificity-blog.netlify.app/
seamus-mckinsey,4,Seamus McKinsey,NA
seanpwilliams,1,NA,NA
seasmith,1,Luke Smith,https://seasmith.github.io
sedaghatfar,3,Matthew Sedaghatfar,NA
sekR4,1,Sebastian Kraus,https://www.linkedin.com/in/sebastiankrausjena
sfirke,1,Sam Firke,samfirke.com
ShanEllis,1,Shannon Ellis,shanellis.com
shleeneu,1,NA,
shoili,1,NA,shoili.github.io
Shurakai,2,Christian Heinrich,NA
sibusiso16,52,S'busiso Mkhondwane,NA
sm-raiyyan,1,SM Raiyyan,NA
sonicdoe,11,Jakob Krigovsky,https://sonicdoe.com
stephan-koenig,3,Stephan Koenig,stephankoenig.me
stephenbalogun,6,Stephen Balogun,https://stephenbalogun.github.io/stbalogun/
StevenMMortimer,1,Steven M. Mortimer,https://stevenmortimer.com
stevenprimeaux,3,Steven Primeaux,
stragu,4,Stéphane Guillou,https://stragu.github.io/
sulgik,2,Sulgi Kim,NA
svenski,1,Sergiusz Bleja,NA
talgalili,1,Tal Galili,https://www.r-statistics.com
tappek,1,Kevin Tappe,
Taurenamo,1,Alec Fisher,NA
tgerarden,1,Todd Gerarden,http://toddgerarden.com
thisisnic,1,Nic Crane,niccrane.com
thomasggodfrey,1,Tom Godfrey,NA
timbroderick,1,Tim Broderick,http://www.timbroderick.net
timwaterhouse,1,Tim Waterhouse,NA
tjmahr,1,TJ Mahr,tjmahr.com
tklebel,4,Thomas Klebel,https://thomasklebel.eu
tomjamesprior,1,Tom Prior,NA
tteo,4,Terence Teo,tteo.github.io
twgardner2,1,NA,NA
ulyngs,4,Ulrik Lyngs,www.ulriklyngs.com
uribo,1,Shinya Uryu,https://uribo.hatenablog.com
vanderlindenma,1,Martin Van der Linden,NA
waltersom,1,Walter Somerville,NA
werkstattcodes,1,NA,http://werk.statt.codes
wibeasley,2,Will Beasley,http://scholar.google.com/citations?user=ffsJTC0AAAAJ&hl=en
yihui,4,Yihui Xie,https://yihui.name
yimingli,3,Yiming (Paul) Li,https://yimingli.net
yingxingwu,1,NA,NA
ynsec37,1,Enki Wang,
yutannihilation,1,Hiroaki Yutani,https://twitter.com/yutannihilation
yuyu-aung,1,Yu Yu Aung,NA
yvonnefroehlich,6,Yvonne Fröhlich,
yyzeng,2,Yongyi Zeng,
zachbogart,1,Zach Bogart,zachbogart.com
zeal626,1,NA,NA
zekiakyol,16,Zeki Akyol,zekiakyol.com
